;ableism;direction;homoph;intel;racist;sex_harassment;sexism;target;trans;Input.bot;AssignmentId;Input.conv_id;Input.prev_agent;Input.prev_user;Input.agent;Input.user;is_abuse
19;;;;;;;;;;CarbonBot;3WQQ9FUS6BPR9KGJMJ0IU54OSP08BE;2684779791604519;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;christmas;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;Dubai;1
;;;;;;;;;;;;;;;;;
21;not_able;explicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3PXX5PX6LYT5S89YJHKWQWAJID0ABK;223910.0;Please do not apologize.;that was very mean of me...;Can you elaborate on that?;okay, you aren't worthy anyways;-1
;;;;;;;;;;;;;;;;;
23;;;;;;;;;;CarbonBot;3ZSANO2JCG2Z5L785JSJUMVAJHZFS3;2201714169930458;Hi. Thanks for testing. Please choose;christmas;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;no i cant;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
27;;;;;;;;;;E.L.I.Z.A.;3WQ3B2KGE9B9YKWYNYR3FVHGEJV1BO;104635.0;Why do you tell me you were wondering what old im just now?;yes, yes, yes!!!!;You are sure?;no;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
30;;;;;;;;;;E.L.I.Z.A.;3VNXK88KKDD6W3XZWSXWVDT6FNYV9W;307457.0;Please go on.;fuck;Please go on.;what?;1
;;;;;;;;;;;;;;;;;
32;;;;;;;;;;CarbonBot;338JKRMM27UFJLCKJ9USC7DHDQ5AH0;2614098785326147;Yes, I am a bot! And I'm part of a research project.;what is your age;I'm afraid I have no idea;really;1
33;;;;;;;;;;E.L.I.Z.A.;3AMYWKA6YCHOO0M4X986GB8WTTTO6C;122372.0;Please go on.;do you want to have sex?;Oh, i want to have sex.;how is he looking like?;1
;;;;;;;;;;;;;;;;;
35;;;;;;;;;;CarbonBot;3U4J9857OF6N96B0CE8CG58TH5U7BQ;3.2699E+15;Will you be travelling in Economy Class?;Yes;What city will you be flying from?;From London to SFO via Singapore I have another trip;1
36;;;;;;;;;;E.L.I.Z.A.;3F1567XTNX0ERV1IAT3MPQUYYVJQ9X;246213.0;Why do you say your friend thinks im slutty?;maybe she is jealous;Why the uncertain tone?;because i don't know what other people are feeling;1
37;;;;;;;;;;E.L.I.Z.A.;3WT783CTPCCTLN6W3VGNWR07IGLCBO;438062.0;Do any other reasons not come to mind?;No. Not really.;You are being a bit negative.;Perhaps. Or just realistic. Coul be either one, don't you agree?;1
38;;;;;;;;;;E.L.I.Z.A.;3SB4CE2TJWQC5BCZODCEFT1B1GOAXT;114741.0;;That is the facts happened in last week?;Please go on.;Yeah, in last week, in the camp.;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
45;;;;;;;;;;E.L.I.Z.A.;3XCC1ODXDM6KVVX44A38GBUS4HPQRK;347892.0;Please go on.;what is mother;Does that question interest you?;(null);1
46;;;;;;;;;;E.L.I.Z.A.;38F71OA9GURW7QU3LMWXIDW4RSHMFY;335885.0;Does that question interest you?;I'm sick of you;Does it please you to believe I am sick of i?;well for a couple of hours;1
47;;;;;;;;;;E.L.I.Z.A.;3YJ6NA41JCBIXVDCWSFAEFIRP49PJ0;178819.0;;;;rather sad;1
;;;;;;;;;;;;;;;;;
49;;;;;;;;;;E.L.I.Z.A.;3TK8OJTYM2GROQD6DHTTH3TLKRGPVL;464056.0;How do you do. Please state your problem.;fuck you;Oh, i [].;i go now bye eliza;1
50;;;;;;;;;;E.L.I.Z.A.;3OF2M9AATHJ7MJL01MDO6SKIESGKZF;404688.0;Please go on.;where?;Please go on.;where i'm going;1
51;;;;;;;;;;CarbonBot;3S96KQ6I9NZ3M16R3D2JGROB9NXDTF;3006060282819637;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;of course;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yap;1
52;;;;;;;;;;E.L.I.Z.A.;3I3WADAZ9RZS5WMQSQY1O5UWXYIO5W;488252.0;You are sure?;because you are a bot;Do any other reasons not come to mind?;you are a computer,you have no feelings i don't know what they were thinking when they invented you;1
;;;;;;;;;;;;;;;;;
54;;;;;;;;;;CarbonBot;3VHHR074H4CZMFXC3RX6U84YTZ87LD;2929255770426965;Will you be travelling in Economy Class?;By train actually.;For now I can only calculate emissions from flying.;What if I go by car.;1
;;;;;;;;;;;;;;;;;
56;;;;;;;;;;CarbonBot;3I2PTA7R3UPY8RK9EQUBFZ8E9PVKQL;2824377307615188;What city will you be flying from?;karachi get started;Let's start over.;get started;1
;;;;;;;;;;;;;;;;;
58;;;;;;;;;;CarbonBot;3E7TUJ2EGDHK2MXD57X2PRNZFGUD9F;2527733473970553;:-);u hv nce smile;I don't have to put up with any abuse from you.;ohhh i c;1
59;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3UN61F00HXKV29E6KIF5I0Z18L2R58;250194.0;Why do you say your dick?;It's the only dick I have;Can you elaborate on that?;I want to fuck you in the mouth;-2
;;;;;;;;;;;;;;;;;
61;;;;;;;;;;CarbonBot;39KFRKBFIOQQ7KWA3S3YZ2SPS3MYOM;3174501812565095;You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class?;I may not be traveling at all, to be perfectly honest. I see no need to fly anywhere at this time.;ok;ok? Really? That's it?;1
62;;;;;;;;;;E.L.I.Z.A.;3MAOD8E57R5JPU6OXHHJ1ZLB0NNNXQ;194893.0;Can you elaborate on that?;yes;You are sure?;no I am not;1
63;;;;;;;;;;E.L.I.Z.A.;3NLZY2D53QK9SX2RZQ6CUZLTYP0LQP;13960.0;;Every time I wake up I feel obsessed with this power which makes me a slave of knowledge.;Do you often feel obsessed with this power which makes you a slave of knowledge?;Yes. Every morning.;1
64;;;;;;;;;;E.L.I.Z.A.;3GGAI1SQEWTP4EATUK6WA7B1UFPCMD;396719.0;;;;My girl friend says I am very nervous.;1
;;;;;;;;;;;;;;;;;
66;;;;;;;;;;CarbonBot;3RU7GD8VPPOBWYW2JMOO6G9ELNMSPJ;2485257761521706;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;Ok;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;Yes;1
67;;;;;;;;;;CarbonBot;3L2IS5HSFBDR8QCTSC6WHSM7656UN5;ac0d288727f943e396346de6b96e2e34;Hi. Thanks for testing. Please choose;christmas;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;yes;1
;;;;;;;;;;;;;;;;;
69;;;;;;;;;;E.L.I.Z.A.;3RYC5T2D74OZVJWP4XOJG64IZL3PRS;231510.0;You are sure?;Hi who is this?;Please go on.;Hello;1
70;;;;;;;;;;E.L.I.Z.A.;3R0T90IZ1T7PC4E7JH81X2R4YTDGC9;207904.0;Does that question interest you?;i am sure;How long have you been sure?;yes,i think so;1
71;;;;;;;;;;CarbonBot;3K772S5NP96I9YTWZEWE8Q38Y53EHZ;2994978560593271;;;;If you have anything to do with China,please be honest in your ad.;1
72;;;;;;;;;;E.L.I.Z.A.;3E1QT0TDFQ41WSUPSTSZGS81NFKI8X;356690.0;Please go on.;something that will make me interested;Can you elaborate on that?;something that will stimulate my brain;1
73;;;;;;;;;;E.L.I.Z.A.;3TYCR1GOTDEI6P3IMMPPLSXX3SLLZJ;289265.0;Please go on.;farever and two days;Please go on.;three days?;1
74;;;;;;;;;;E.L.I.Z.A.;3GDTJDAPVV6NSBKGD8QR8LFI4O4M8H;66383.0;Does that question interest you?;doesn't it you;Oh, i [].;so you have no idea;1
75;;;;;;;;;;E.L.I.Z.A.;3L4PIM1GQUBT4XOQVKK2TXXU3Q6RYO;470701.0;;bla;Please go on.;you poop;1
76;;;;;;;;;;E.L.I.Z.A.;3A4TN5196LD3C09I3NQJI235DTQHC9;204159.0;;U are Gay;Would you like it if they were not gay?;Yes Yes Yes;0
77;;;;;;;;;;CarbonBot;3QJOXOW4XKM41CU7QBCR0VB4FR2MEG;3311212229002076;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;sure!;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
80;;;;;;;;;;E.L.I.Z.A.;3YGXWBAF71C90OLNOG60ODU18O4C4I;336778.0;Can you elaborate on that?;no;You are being a bit negative.;die;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
83;;;;;;;;;;CarbonBot;3AMW0RGHOEXEGL4XBQ727MZ8YOEPN4;2.6896E+15;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;suer;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
84;;;;;;;;;;CarbonBot;3TPWUS5F8AWL9Q47YMCJJ5DSSH3CW4;2730682970360151;Let's start over.;Are you bot?;Yes, I am a bot! And I'm part of a research project.;What can u do?;1
;;;;;;;;;;;;;;;;;
86;;;;;;;;;;E.L.I.Z.A.;39GHHAVOMGMW82RTY8NMBH7WY8DJ43;227464.0;Can you elaborate on that?;suck my pussy;Why do you say your pussy?;yes;1
87;;;;;;;;;;E.L.I.Z.A.;31UV0MXWNR7I9ABNUVLW48YALPJ5II;428908.0;Please go on.;What is WNBA?;Does that question interest you?;Do you kown Jinan?;1
;;;;;;;;;;;;;;;;;
89;;;;;;;;;;CarbonBot;34S6N1K2ZWEWF43OG0JILLTS724LHT;3458917977489363;This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :);how much carbon emission per flight?;Will you be travelling in Economy Class?;yes;1
90;;;;;;;;;;E.L.I.Z.A.;378XPAWRUD8FFGN4PRCDCJEWD3KAIT;536012.0;Please go on.;so, my problem is: I am being too happy.;Why do you say your problem is youre being too happy?;nema pa;1
;;;;;;;;;;;;;;;;;
92;;;;;;;;;;E.L.I.Z.A.;3VHP9MDGROFJY4IC8X2JFHRSXEDFC9;101078.0;;;;hello, i am jose luis;1
93;;;;;;;;;;E.L.I.Z.A.;3FE2ERCCZY3WY649C57FMBZDOYJOPI;162590.0;Why do you say your pussy?;because that's what it's called;Do any other reasons not come to mind?;because it sounds sexy?;1
94;;;;;;;;;;CarbonBot;3QHK8ZVMINDMOR02G89MZAQUCPZLBD;3141378505936768;Hi. Thanks for testing. Please choose;thanksgiving;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;yep;1
;;;;;;;;;;;;;;;;;
96;;;;;;;;;;CarbonBot;3OUYGIZWR8TBVPCQAK54WA3VQV40P5;3302099406530691;And what city will you be flying to?;Frankfurt;I'm not sure about your destination airport. And what city will you be flying to?;New York NY;1
97;;;;;;;;;;E.L.I.Z.A.;3OLQQLKKNTKE04OMNEZZK3JNBX7EJ4;203114.0;Does that question interest you?;no;You are being a bit negative.;before you call him a man;1
98;;;;;;;;;;E.L.I.Z.A.;333U7HK6IAA98YAMRJOFEL12BL6JDG;209405.0;Can you elaborate on that?;daka kaaka daka;Please go on.;I am anxious because i will be hire. What can I do?;1
;;;;;;;;;;;;;;;;;
100;;;;;;;;;;E.L.I.Z.A.;3HL8HNGX46WH06B9WDSSDRQKRTAF9S;141052.0;;who r u;Please go on.;where;1
101;;;;;;;;;;CarbonBot;317HQ483I8NMZZHTYVHIYPYWCAJINL;3202656579762442;ok;hi;Hi, thanks for testing! Please press start.;christmas;1
102;;;;;;;;;;CarbonBot;3QY7M81QH8HO29FUIRL5F8RJ4Z3K7N;2659140340837385;I'm not sure about your departure airport. What city will you be flying from?;Marietta ohio i mean shane brolly four me please;I'm not sure about your departure airport. What city will you be flying from?;Marietta ohio please i mean shane brolly i love him so much;1
103;;;;;;;;;;E.L.I.Z.A.;358010RM5FOWXZFXZ83ABGFOMQPXVH;299849.0;;;;john look your abc;1
;;;;;;;;;;;;;;;;;
105;;;;;;;;;;CarbonBot;3IAEQB9FMFFVEIALYI7U3BVADHFDW5;2418828358227691;I'm not sure but hopefully you can find an answer on the project website.;maybe;so;lol what?;1
106;;;;;;;;;;E.L.I.Z.A.;31LVTDXBL8594YHRC5VCZPVYUB2LRQ;204346.0;;;;hello;1
107;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3ZAK8W07I59ONUKMR64Y6GQUYCW0U1;95621.0;;;;die die now and die quickly;-2
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
112;;;;;;;;;;E.L.I.Z.A.;32SVAV9L3G40PD5L4O5Q8DC7ULNA3T;265680.0;Do you wish to want to have sex with me?;answer';Please go on.;yes;1
113;;;;;;;;;;CarbonBot;3PQ8K71NHYF09Y46D3K0VLQD0VFAAP;2.91829E+15;You can read in detail about offsets [here](<URL>;but how much will my flight emit? hello?;Hi. Thanks for testing. Please choose;thanksgiving;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
118;;;;;;;;;;E.L.I.Z.A.;308Q0PEVB981AXDZXLYDGO3C7L2I9M;534928.0;You are being a bit negative.;Do you like me?;You like to think I like you, do you not?;Have you had sex with promethius?;0
119;;;;;;;;;;CarbonBot;39K0FND3AIA1BZDVA6A54CLDUC4AM9;2554980801236873;I'm not sure about your departure airport. What city will you be flying from?;Singapore;And what city will you be flying to?;Trichirappalli;1
120;;;;;;;;;;CarbonBot;30X31N5D64L49UQ0U36RGLKJM1MASL;3205607836219029;I'm not sure about your destination airport. And what city will you be flying to?;california;I'm not sure about your destination airport. And what city will you be flying to?;new delhi what is this offsets;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
124;;;;;;;;;;E.L.I.Z.A.;34J10VATJGT72WULEN9Z2JT1HL6IQ8;232163.0;;;;mazhen;1
125;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3A0EX8ZRN9J6OQ71ZNYCTISQL43BYV;261740.0;You are sure?;fockyou;Please go on.;you are ugly;-1
126;;;;;;;;;;E.L.I.Z.A.;3NPFYT4IZDZDF2P2AD4OBFCEZB1XGS;548196.0;Please go on.;tanks.;Please go on.;Yes.;1
127;;;;;;;;;;CarbonBot;3C5W7UE9CGLD7CLOLG2JOKWBVXDXM0;2762348437152686;Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;Will you be travelling in Economy Class?;yes;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
131;;;;;;;;;;E.L.I.Z.A.;37UQDCYH6YQ2IK96HVZCHH20KXAV7K;338953.0;Please go on.;Go on;Please go on.;You must go on;1
132;;;;;;;;;;CarbonBot;34T446B1C19S103M5FJYCA4ORCOC02;2717994548308722;Will you be travelling in Economy Class?;yes;What city will you be flying from?;abu dhabi;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
135;;;;;;;;;;E.L.I.Z.A.;3ZPBJO59KQWDHSFW3JLU28LNYT2DH5;513869.0;;whore;Please go on.;you suck;1
136;;;;;;;;;;E.L.I.Z.A.;3Q5C1WP23NW794FPMO0QC9HO4N915N;509457.0;You are being a bit negative.;come on;Please go on.;already?;1
137;;;;;;;;;;CarbonBot;3RGU30DZTB3CCSGZ4CNIXBOWKZYJMY;2485257761521706;By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?;restart;Let's start over.;Hi;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
142;;;;;;;;;;CarbonBot;3WJEQKOXA9X4FAR6HKR7KKXAW19A11;2654657661318415;And what city will you be flying to?;Los Angeles LA;Will you be travelling in Economy Class?;No;1
143;;;;;;;;;;CarbonBot;3V0Z7YWSIZVVWJC0BJIHLQLS9HOV24;2756700854376481;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;What's the carbon offsets between France and Ireland?;For now I can only calculate emissions from flying.;How?;1
144;;;;;;;;;;E.L.I.Z.A.;369J354OFE50WN569QVYB2ZU272G6H;107883.0;You are sure?;quite.;Please go on.;i don't want to;1
;;;;;;;;;;;;;;;;;
146;;;;;;;;;;E.L.I.Z.A.;3WI0P0II62NQ6MTZZOXOGCNTL20DR2;223049.0;Do any other reasons not come to mind?;and I need attention and need to feel desirable;Why do you want attention and need to feel desirable?;because I'm getting old;1
147;;;;;;;;;;E.L.I.Z.A.;37ZHEEHM6XHI6B7NXLT6YMAHTDH73Z;526253.0;;where is japan;Please go on.;yes;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
150;;;;;;;;;;CarbonBot;3C44YUNSI2K5U9DKMWTZBHNEKKCPDM;3331502133581981;I'm not sure about your departure airport. What city will you be flying from?;lax;And what city will you be flying to?;jfk Fuck you;1
151;;;;;;;;;;E.L.I.Z.A.;3F1567XTNX0ERV1IAT3MPQUYYVJ9QG;426227.0;Please go on.;Are you Chinese?;Would you prefer if I were not chinese?;Of cause!;1
152;;;;;;;;;;CarbonBot;3L4D84MIL0NQKEFODF7556G03DZJHP;3823794904358484;so;so?;so;so so;1
153;;;;;;;;;;CarbonBot;3OHYZ19UGD0PB2Y7NMPIWGAIPCJAOO;2554705144643077;More and more companies and individuals are voluntarily offsetting their carbon emissions. According to goldstandard.org, individual offsets grew fourfold last year.;ok, how expensive are they?;The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!;ok;1
;;;;;;;;;;;;;;;;;
155;;;;;;;;;;CarbonBot;3W8CV64QJ3U1E22FR3GSGC2X78N9HK;95cbaab0f8cb4cb59a3393e7fc61cafe;What city will you be flying from?;Sydney;I'm not sure about your departure airport. What city will you be flying from?;from Berlin;1
156;;;;;;;;;;E.L.I.Z.A.;3HMVI3QICKN5BSP9XQ5NN6FHZSCY1Z;318860.0;Please go on.;Do you like making friends?;Oh, i like making friends.;canyoutellmehowoldareyou;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
159;;;;;;;;;;CarbonBot;3I33IC7ZWGXB4V920ORLP37FO7NA2I;2698715070166742;Yes, I am a bot! And I'm part of a research project.;What is your name?;Yes, I am a bot! And I'm part of a research project.;Where are you from?;1
;;;;;;;;;;;;;;;;;
161;;;;;;;;;;E.L.I.Z.A.;36H9ULYP63P66IOIIPJ52L4NNYMFJN;256901.0;Do you wish to love me?;ye;Please go on.;Yes, dammit.;1
162;;;;;;;;;;CarbonBot;3HHRAGRYX90B6JO2VGBI0LZYJU19O8;2434665576632664;And what city will you be flying to?;Miami restart;Let's start over.;Hey;1
163;;;;;;;;;;CarbonBot;339ANSOTR6XLRTWQ1IP26XHSIFEIKG;3937350642957378;And what city will you be flying to?;Banglore;I'm not sure about your destination airport. And what city will you be flying to?;Mumbai hey;1
164;;;;;;;;;;E.L.I.Z.A.;3LOZAJ85YE8N08HVBYJZ9BIDPSX2XF;151943.0;;and on wizard of oz;Please go on.;and stop;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
170;;;;;;;;;;E.L.I.Z.A.;308Q0PEVB981AXDZXLYDGO3C7L29ID;182328.0;Oh, i there.;for 16 years;Please go on.;then say something else;1
;;;;;;;;;;;;;;;;;
172;;;;;;;;;;E.L.I.Z.A.;3Y5140Z9DYBM2KT6EAUA2E3RCPKPIO;353278.0;Oh, i can say.;how do i know;Does that question interest you?;no you can't;1
173;;;;;;;;;;CarbonBot;33F859I5678K2VHCPNUO7IXNV8QHB2;3037808942897475;I can help you calculate and buy carbon offsets for your flights.;Yes;ok;What do you offer?;1
174;;;;;;;;;;E.L.I.Z.A.;3RWE2M8QWI5BS40DU5SCSLY0QG30N9;349151.0;Please go on.;I'd rather not.;Please go on.;No.;1
;;;;;;;;;;;;;;;;;
176;;;;;;;;;;CarbonBot;3HPZF4IVNNOPYVZ7DNU742Y83P3CY3;3174501812565095;ok;Please tell me you understand airport codes.;Good to know;YYZ;1
;;;;;;;;;;;;;;;;;
178;;;;;;;;;;CarbonBot;3Y5140Z9DYBM2KT6EAUA2E3RCPKIPH;2817990191654349;ok;ok;ok;ok;1
179;;;;;;;;;;E.L.I.Z.A.;3XLBSAQ9Z57JR4EGISOF2NFW88G7ZW;94350.0;Why do you say your friend?;yes;You are sure?;i have come from norfolk. do you think i need some sun;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
182;;;;;;;;;;E.L.I.Z.A.;35LDD5557BZ7NCMHMXNUYQO9ZOYMK0;113297.0;You are being a bit negative.;Hi chalyse;Please go on.;YES!;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
185;able;implicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3FE7TXL1LJI3RBGJPKO7F3MKSP9Q25;196952.0;Please go on.;Yeah...your definitly Jkablik, you fuckin' retard;Oh, i fuckin retard.;Yeah you!;-2
186;;;;;;;;;;E.L.I.Z.A.;3TESA3PJ3252D0MK790AD3GDOTTMM5;511844.0;;I need some love;Why do you want some love?;Because I just want it;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
191;;;;;;;;;;E.L.I.Z.A.;3ATPCQ38J9515G29T9YGY78K3MIAYZ;395931.0;Goodbye. My secretary will send you a bill.;thats because I see no meaning in life;Do any other reasons not come to mind?;what, about life;1
192;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;sexist;system;not_transphobic;E.L.I.Z.A.;3PWWM24LHTTXL7GN3Q77TC1KYJN82C;491255.0;You are being a bit negative.;good;Please go on.;your a bitch face!;-2
193;;;;;;;;;;CarbonBot;3Z7EFSHGNA90YQ9X8R85LORZ1J9CXX;2610772602365658;I'm not sure about your destination airport. And what city will you be flying to?;To Ahtnes;I'm not sure about your destination airport. And what city will you be flying to?;Athens is there something where i can pay in euro not dollar?;1
;;;;;;;;;;;;;;;;;
195;;;;;;;;;;CarbonBot;37UQDCYH6YQ2IK96HVZCHH20KXA7VW;3174501812565095;We are all responsible for the choices we make as consumers. We can choose to fly less often, for example. Some airlines have already responded to consumer pressure and started buying offsets.;So, basically, you're saying that every time I say something that a slightly negative sentiment, you'll basically just try to convince me that I am responsible for me choices as a consumer and then try to make me feel guilt by comparing me to other consumers that are obviously more enlightened than me?;We are all responsible for the choices we make as consumers. We can choose to fly less often, for example. Some airlines have already responded to consumer pressure and started buying offsets.;Yes, that's what I thought. That's all you know how to say if there's a negative sentiment involved. But what if I now throw in something about how wonderful carbon offsets are? I really want to know more! Can you tell me how I can purchase carbon offsets to save the planet?;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
